"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1747433104162345457","Wed Jan 17 01:38:12 +0000 2024","2","Digitalisasi Pelayanan Kesehatan Puskesmas dalam Gayatri Kota Mojokerto Jadi Rujukan Studi Tiru Pemda Lain https://t.co/7GQJrmK7Go #inovasipelayananpublik #pelayanankesehatan #pemkabBone #pemkotmojokerto #puskesmas https://t.co/8LXELjIJBc","1747433104162345457","https://pbs.twimg.com/media/GEAf9V7bAAA2oPB.jpg","","in","Jakarta Pusat, DKI Jakarta","0","0","0","https://x.com/BongkahI/status/1747433104162345457","1226400848080539650","BongkahI"
"1681473145608486912","Wed Jul 19 01:16:52 +0000 2023","0","Pengumuman Update Pelayanan Poli Rawat Jalan RS Panti Nirmala #rawatjalan #pelayanankesehatan #liburrspn #rawatjalanrspn #pelayananrspn https://t.co/AlvTRajmlo","1681473145608486912","https://pbs.twimg.com/media/F1XK6ggaYAAJS_f.jpg","","in","Jl. Kebalen Wetan 2-8 Malang","0","0","0","https://x.com/rspantinirmala/status/1681473145608486912","888999337","rspantinirmala"
"1781943562676142281","Sun Apr 21 07:10:26 +0000 2024","0","Prajurit TNI selalu membersamai masyarakat #Papua #PelayananKesehatan #PapuaNKRI #KesehatanPapua #PapuaMaju https://t.co/VdIG91Ihs4","1781943562676142281","https://pbs.twimg.com/media/GLq8N6ubkAAzxs9.jpg","","in","Kuningan, Jawa Barat Indonesia","0","0","0","https://x.com/RFatwala/status/1781943562676142281","1564543173132980225","RFatwala"
"1781943307264037373","Sun Apr 21 07:09:26 +0000 2024","1","Masyarakat Papua terbantu dengan Dokter Militer yang Bertugas #Papua #PelayananKesehatan #PapuaNKRI #KesehatanPapua #PapuaMaju https://t.co/xm7CnF1YnL","1781943307264037373","","","in","DKI Jakarta","0","0","0","https://x.com/JulieMarshaa/status/1781943307264037373","1579641677127782400","JulieMarshaa"
"1781943284753150445","Sun Apr 21 07:09:20 +0000 2024","1","Keberadaan aparat keamanan memberikan manfaat bagi Masyarakat Papua #Papua #PelayananKesehatan #PapuaNKRI #KesehatanPapua #PapuaMaju https://t.co/UwLPvTyHoK","1781943284753150445","","","in","DKI Jakarta","0","0","0","https://x.com/JulieMarshaa/status/1781943284753150445","1579641677127782400","JulieMarshaa"
"1781943153915994183","Sun Apr 21 07:08:49 +0000 2024","0","Prajurit TNI berikan layanan terbaik untuk masyarakat Papua #Papua #PelayananKesehatan #PapuaNKRI #KesehatanPapua #PapuaMaju https://t.co/CEznMyYSwf","1781943153915994183","https://pbs.twimg.com/media/GLq72NzaoAAH6YH.jpg","","in","Kuningan, Jawa Barat Indonesia","0","0","0","https://x.com/RFatwala/status/1781943153915994183","1564543173132980225","RFatwala"
"1781993458976309415","Sun Apr 21 10:28:43 +0000 2024","1","Keberadaan aparat keamanan memberikan manfaat bagi Masyarakat Papua #Papua #PelayananKesehatan #PapuaNKRI #KesehatanPapua #PapuaMaju https://t.co/QLmL4D4L9y","1781993458976309415","","","in","DKI Jakarta","0","1","0","https://x.com/PatriaReppi/status/1781993458976309415","292256118","PatriaReppi"
"1782274193800962232","Mon Apr 22 05:04:15 +0000 2024","0","Today we celebrate our beautiful Earth home to all living things. At doctorSHARE we care about the health of the Earth and the health of communities especially in remote areas. #EarthDay #doctorSHARE #kesehatan #lingkungan #komunitasterpencil #pelayanankesehatan https://t.co/kE9hbR9RuA","1782274193800962232","https://pbs.twimg.com/media/GLvo7sSbcAAOsxi.jpg","","en","Jakarta, Indonesia","0","0","1","https://x.com/doctorSHARE/status/1782274193800962232","333380071","doctorSHARE"
"1781943456975442344","Sun Apr 21 07:10:01 +0000 2024","0","Momen kedekatan masyarakat Papua dengan Prajurit TNI melalui pelayanan Kesehatan #Papua #PelayananKesehatan #PapuaNKRI #KesehatanPapua #PapuaMaju https://t.co/lQG2m1oNv0","1781943456975442344","https://pbs.twimg.com/media/GLq8H5PaIAAB9s0.jpg","","in","Kuningan, Jawa Barat Indonesia","0","0","0","https://x.com/RFatwala/status/1781943456975442344","1564543173132980225","RFatwala"
"1783995425508536362","Fri Apr 26 23:03:49 +0000 2024","7","RSUDMA Sumenep Merupakan Rumah Sakit Inovatif Dengan Layanan Kesehatan Gratis https://t.co/wfe0IDrcBP #RSUDMA #Sumenep #RumahSakitInovatif #LayananKesehatanGratis #UHC #IGD #KesehatanMadura #JawaTimur #PelayananKesehatan #PelayananMedis","1783995425508536362","","","in","","0","0","5","https://x.com/NewssatuCom/status/1783995425508536362","859471627108499456","NewssatuCom"
